name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
aska,0.05275731634481386,0.6537681689886611,0.7420472440944883,1.0,0.1562175268444752,0.8717948717948717,0.1428571428571428,1.0,0.7952167414050821,1.0,0.874014368319608,0.0,0.0,0.1836734693877554,0.0,0.3497583410959762,0.883220608395573,1.0,0.7113248654051862,1.0,0.6110495152710724,0.33333333333333337,1.0,1.0,1.0,1.0,0.6310746041659502,0.0,0.07685863390656184,0.0,0.4726454712213274,0.44483686255330407,0.0,0.04126984126984126,0.0,0.2233937414660306,0.0,0.0018963337547408345,0.0018796992481203006,0.0008410428931875525,0.0014668901927912825,0.5262599469496021,0.7632417363600159,0.5864304235090753,0.4086845466155811,0.6611237087427564,0.0,1.0,1.0,1.0,0.7777777777777778,0.07692307692307693,0.06049822064056939,0.0214114258281325,0.03674579260674653,0.006734006734006735,0.0,0.0,0.0967741935483871,0.0,0.0,0.4,0.712041884816754,0.8265179677819083,0.5796252927400468,0.48014114557689147,1,0,0.763146578072157,0,0
blanca,0.4457495520605216,0.6664412510566358,0.741705922053861,0.19051745481554838,0.27301201514097795,0.7665092807543582,0.8351648351648349,0.3388888888888886,0.47341447789878277,0.2300956125457958,0.39022954266690046,0.12330640335128659,0.11191341508692329,0.46892874796977646,0.12062497623968664,0.2210257638592079,0.7403208490843578,0.8473588780277914,0.4583310500186424,0.7901706439321047,0.7451087585891313,0.9999999999999999,0.0,1.0,0.0,1.0,0.30535240827622967,0.6956306661977498,0.6858509452614676,1.0,0.8776964042716935,0.09324009324009326,0.4839020237547253,0.5777777777777774,1.0,0.7703509780714599,0.02962962962962963,0.03160556257901391,0.03070175438596491,0.031118587047939447,0.03101424979044426,0.7861660885533563,0.6324014336917563,0.44532834741502475,0.3494839502099031,0.5507742144476837,0.9230769230769231,0.12680089485458612,0.4414607948442535,0.3157894736842105,0.36666666666666664,0.14792899408284024,0.06049822064056939,0.0214114258281325,0.03674579260674653,0.01997755331088665,0.3076923076923077,0.4738461538461538,0.3732718894009217,0.18421052631578946,0.384,0.7230769230769232,0.15340314136125655,0.4466277217206585,0.3141254776284974,0.18278188084687347,1,0,0.35089034662224494,1,0
cafe-boulud,0.9124029464463468,0.6343677375256322,0.733612670797777,0.20925214640187845,0.1567699365050565,0.7691668658412738,0.5714285714285714,0.4197322322322319,0.4390719438487034,0.4396902860362246,0.4334874280143426,0.39843905844803507,0.19440593254195698,0.4351546639030095,0.22011077933892567,0.24330528596960166,0.5146555871341353,0.7221865925606495,0.46672162778542026,0.6949197502711386,0.7130144249694091,0.6666666666666666,0.0,1.0,0.0,0.0,0.6822422923379535,0.624362625707808,0.7612865104265363,0.6943879173657033,0.7966156103879484,0.4654545454545456,0.38982868838074836,0.670132143899287,0.4821745797834788,0.6345964307137635,0.18518518518518517,0.18710493046776233,0.18734335839598998,0.18671152228763666,0.18692372170997487,0.41703196984503693,0.46765919144951396,0.2860875924646546,0.4255922800327729,0.3932461234200722,0.7302631578947368,0.5467077816071105,0.4648829431438127,0.5605381165919282,0.5335570469798657,0.07692307692307693,0.07644031932288159,0.014393634085132551,0.03674579260674653,0.008956078307308733,0.18421052631578946,0.41476091476091476,0.4094292803970224,0.23766816143497757,0.38859060402684564,0.5105263157894737,0.22951747559077404,0.4344717832676456,0.2459646506547925,0.15950336892263867,0,0,0.6060882138023679,0,0
cote,0.08381445351383635,0.6493599423831983,0.7648398901772471,0.21252460456252892,0.1377865588069243,0.7695600891351132,0.5614617940199336,0.20524691358024683,0.4692599570143545,0.3324440132589537,0.32824262001245286,0.24982065217819824,0.13285588911491847,0.5127398562554608,0.1520935494144684,0.21367076781586783,0.5989453366720734,0.8002172698019849,0.4191577493049884,0.7516859231864432,0.759174997042436,0.9999999999999999,0.0,1.0,0.0,0.0,0.7839115164864313,0.78610248470439,0.6604077511083573,0.8819738315137318,0.8972526996872002,0.6145172656800565,0.6179571164584158,0.5479155764870051,0.7778778394750124,0.805062407095969,0.1037037037037037,0.10619469026548674,0.10588972431077694,0.10513036164844407,0.10561609388097233,0.43662944913947316,0.49903638277294193,0.33687152552254607,0.47933448699732223,0.4460052419236093,0.6395348837209303,0.13795674869500374,0.3709124883213952,0.3492063492063492,0.308300395256917,0.07692307692307693,0.10263091001525164,0.033827518911901645,0.03674579260674653,0.02243781690422007,0.23255813953488372,0.2051282051282051,0.4976140484825349,0.23809523809523808,0.37707509881422924,0.5813953488372093,0.25953627524308154,0.7788873979894855,0.32606594550388457,0.27322499284800994,0,0,0.5264445976106596,0,0
daniel,0.9520207047581127,0.6474669890467208,0.740016864331938,0.21190855941419146,0.15449194707741473,0.7693032592633897,0.7804014167650533,0.6615378592122774,0.6908850601840926,0.756881784017855,0.7599642175352526,0.6032350284148158,0.26741540201605585,0.7723493222110275,0.47302270333463564,0.3338114321416563,0.3557381515189286,0.5812790937547719,0.19409393540165887,0.4168470972645417,0.5528776650473254,0.9999999999999999,1.0,1.0,1.0,1.0,0.49307754924732755,0.5711746405986885,0.42136795835199353,0.5414300283784549,0.632977643874024,0.24312546957175074,0.32624047006304097,0.2990707993612721,0.29314647562989443,0.4006606976443107,0.2962962962962963,0.29898862199747156,0.2976190476190476,0.29857022708158115,0.298197820620285,0.45059078852182294,0.619705431408357,0.33110039576036027,0.2966772203502154,0.4403712228416847,0.8264462809917356,0.6150233409481108,0.5634349030470913,0.6797752808988764,0.632280701754386,0.08455181182453911,0.06049822064056939,0.039081486722086056,0.04200993705321864,0.015098351940457205,0.38016528925619836,0.8150918848593267,0.6273005093378609,0.41853932584269665,0.7073684210526315,0.5735537190082645,0.31511019116035555,0.5998591273723342,0.32692813725232217,0.2553432325274042,1,0,0.7141246024667965,0,0
delaware-and-hudson,0.3077841927135178,0.6434174521131043,0.7146325898442365,0.20185330413554664,0.1560323243701215,0.767044063027187,0.9627329192546581,0.36658249158249134,0.406358643623721,0.27222968350100096,0.4068766328754556,0.9658402439371898,0.15793653195132887,0.3859668165422957,0.12135636727359525,0.21671505647955136,0.0,0.7436788231113941,0.5977812597198456,0.8139610082013738,0.7547656684841554,0.9999999999999999,0.0,0.0,0.0,1.0,0.17373328834652896,0.7382822358966314,0.6385740496640222,0.8765268150720388,0.8484208924738955,0.030183255479698176,0.5450606598405293,0.5228075295491024,0.7682992575403321,0.7198180107862012,0.05432098765432099,0.05562579013906448,0.05576441102756892,0.055508830950378465,0.05553227158424141,0.22576404105639486,0.44429510155316604,0.26444796208714905,0.21046052680981486,0.29779102652296874,0.9565217391304348,0.41915802318486883,0.2667060910703726,0.34328358208955223,0.4157303370786517,0.07692307692307693,0.1409333549013264,0.044988052020907617,0.12065782646991396,0.058815369676792906,0.30434782608695654,0.3181818181818182,0.2946719826023922,0.13432835820895522,0.2831460674157303,0.6086956521739131,0.1950261780104712,0.3403784303078401,0.14670208675591595,0.113319392118788,0,0,0.2057604688488236,1,1
dovetail,0.7720485765478798,0.6508731057772459,0.7410622545613286,0.21527171642271484,0.15296675749973468,0.7693406852463188,0.6714285714285715,0.2814009661835746,0.36719336399853697,0.4220186171769802,0.3603111183401597,0.3821094321049291,0.14399945390203087,0.39098302866850126,0.16902795810253599,0.21948616724869555,0.5746558549569227,0.7974509128291648,0.5373871663908215,0.7431640710054928,0.7621730640272983,0.6666666666666666,0.0,0.0,0.0,0.0,0.4885961988246598,0.6972086892137664,0.7559620734695671,0.7459838921572612,0.8202082698006703,0.23872624550590654,0.4860999563151783,0.6634262880822,0.5564919673580964,0.672741605849409,0.145679012345679,0.14538558786346398,0.14598997493734334,0.14550042052144657,0.14564124056999161,0.5526613616268787,0.5537998026076567,0.35674620985900346,0.30225005149037387,0.4416521544738686,0.85,0.34255422624258347,0.40817709509826067,0.5057471264367817,0.45911047345767575,0.09230769230769231,0.06049822064056939,0.04842841807478897,0.03674579260674653,0.018134477244950705,0.2,0.3277591973244147,0.33517928838432787,0.14942528735632185,0.29440459110473455,0.5800000000000001,0.15114955611199637,0.4011519377123985,0.15925058548009366,0.1099002053536045,0,0,0.31760008699282516,1,1
eleven-madison-park,0.9677483575552459,0.6484031019148077,0.7433251396899963,0.21196637707737973,0.1511089227588106,0.7691178301706716,0.7456828885400315,0.7098940300073444,0.7394190557766915,0.5990081315342684,0.7444831747720371,0.49883213984047703,0.3428992600896381,0.906995279554734,0.24540833687972408,0.32140366663456954,0.4176337875474065,0.5061069952159034,0.11555848937623259,0.6271417831343631,0.5698738750848084,0.9999999999999999,1.0,1.0,1.0,1.0,0.5391952250636969,0.5474203886526318,0.331927226376109,0.6706298736309556,0.6472486331872516,0.29073149073149074,0.29966908191259845,0.2206979705951064,0.44974442740627146,0.4189307931627653,0.2222222222222222,0.2231352718078382,0.22305764411027568,0.2228763666947014,0.22296730930427494,0.44835164835164826,0.6612767844148635,0.45456940168782106,0.4222840859259492,0.5496146461801015,0.8186813186813187,0.6380021674239976,0.6392667060910704,0.4699248120300752,0.6097560975609756,0.07692307692307693,0.07386609942233827,0.044988052020907617,0.029700546655828962,0.016051698978528248,0.3516483516483517,0.823708869034648,0.7437477346864807,0.37593984962406013,0.7378986866791745,0.48571428571428577,0.3319045429601175,0.6668267825069963,0.32676832596714267,0.2635170338182191,0,1,0.8023044060803722,0,0
faro,0.23472028668126615,0.680161943319838,0.6438410409966361,0.23200325063953356,0.19478033169728537,0.768784229024289,0.6616541353383458,0.3335941575378194,0.30885650224215233,0.36791800289253596,0.33857543367793985,0.3662132538687674,0.12087517125712646,0.316292471931384,0.13814712849007058,0.19949067898192605,0.4811910662085698,0.789565463704138,0.6124958633387529,0.7930061604149915,0.7856561670753086,0.9999999999999999,0.0,0.0,0.0,0.0,0.7407052977520968,0.7525132378276577,0.8573782425345342,0.7901594215894738,0.8929135402212264,0.5486443381180225,0.566276173105865,0.7960429242119382,0.6243519115266117,0.7972945903104037,0.04444444444444444,0.04487989886219975,0.045112781954887216,0.044575273338940284,0.04484492875104778,0.2755270138210247,0.3273091355781042,0.27657735522904064,0.20817225755497365,0.26678184501313756,0.6842105263157895,0.3250779846866434,0.2982456140350877,0.37037037037037035,0.35648148148148145,0.12550607287449395,0.06049822064056939,0.07969808502693765,0.03674579260674653,0.03432472876917322,0.21052631578947367,0.5157096424702058,0.4731182795698925,0.18518518518518517,0.42499999999999993,0.4631578947368421,0.33080156330654087,0.44919454770755884,0.2215283198889756,0.1855544614037967,0,0,0.36771610889309925,1,0
gramercy-tavern,0.9715309575950627,0.6473294311408044,0.740532156767839,0.21152617423549627,0.15666830912736548,0.769218044689986,0.8486238532110091,0.6472974741525976,0.6748826537026948,0.695723103002091,0.7391772871066347,0.5134612608308115,0.2863495427077075,0.738187258036585,0.36771350495973887,0.33144866915686083,0.40422603375535804,0.6076400801737628,0.2372266368540178,0.5090421544475616,0.5764196307027007,0.9999999999999999,1.0,1.0,1.0,1.0,0.35640703959016085,0.5150767546442776,0.39663072026054574,0.590729326483398,0.6089549774317682,0.12702597786942246,0.2653040631748814,0.27659184305519746,0.3489611371675291,0.3708261645389252,0.5358024691358025,0.5366624525916561,0.5363408521303258,0.5365853658536586,0.5364626990779547,0.44048134718808546,0.47925382732936206,0.3010883569334163,0.26325238607360457,0.36503106502628563,0.8440366972477065,0.5710389641188608,0.5671421544515494,0.5524256651017214,0.5909445745511319,0.08539167254763586,0.1077424141443356,0.11701244161682692,0.189249457697657,0.09202616852890078,0.45871559633027525,0.7179487179487178,0.5367802230931565,0.323943661971831,0.6098360655737705,0.6394495412844037,0.37931289660148376,0.6319789459055692,0.34739951549002573,0.29946888797410626,0,0,0.6410828044707738,0,0
kajitsu,0.060521600637069475,0.6537681689886611,0.716547702246227,0.22130900635527978,0.17574389923402522,0.9999999999999999,0.5714285714285714,1.0,1.0,1.0,0.9370071841598042,0.0,0.0,0.0,0.0,0.34975834109597603,0.883220608395573,1.0,1.0,1.0,0.7433592376460783,0.6666666666666666,1.0,1.0,1.0,1.0,0.6310746041659502,0.6910184300334196,0.5998726655870714,0.6682678072621301,0.30699223879600224,0.44483686255330407,0.49449049859039657,0.4962709493507853,0.47003463044851806,0.09424423468098166,0.0,0.0006321112515802782,0.0006265664160401002,0.0,0.00041911148365465214,0.45464190981432356,0.4235364396654719,0.22774416594641314,0.040249235651534515,0.29122125040492386,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.06049822064056939,0.0214114258281325,0.03674579260674653,0.006734006734006735,1.0,0.0,0.0967741935483871,0.0,0.44999999999999996,1.0,1.0,0.32342007434944237,0.9999999999999999,0.7660635155096012,0,0,0.8454822703588837,0,0
