name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_access,div2_access,div3_access,div4_access,total_access,michelin__0.5,michelin__1.0,security,at_risk,actual
aska,0.04091916952227374,0.6432748538011697,0.19512195121951223,0.0,1.0,0.09997242096387145,0.8076923076923077,0.6696428571428572,0.42175161521895177,0.8729411764705883,0.6033898305084744,0.07385812387303181,0.10989935176639548,0.11858505681724885,0.19988295381996168,0.20783813985810923,0.8308964997293846,0.760895824106689,0.718263737286913,0.6041164675481681,0.6975281536700992,0.857142857142857,1.0,0.5,1.0,1.0,0.33333333333333337,0.49912883488178184,0.8695214428227851,0.28514711039424434,0.5045652206581795,0.11111111111111116,0.24912959381044503,0.7988472622478385,0.08130887456618738,0.3946505087110297,0.0,0.0,0.0,0.0,0.0,0.3453215082898648,0.3295268404549071,0.44947082963354057,0.48285278926641984,0.4672179605490828,0.3448275862068966,0.5068493150684932,0.0,1.0,0.4158143194335169,0.17647058823529413,0.2885973763874874,0.30901287553648066,0.24607329842931935,0.13414066138798322,0.32142857142857145,0.2334096109839817,0.27645051194539244,0.2545454545454545,0.23816448152562572,0.641025641025641,0.285729747280697,0.0,0.45440313111545994,0.21864219289035547,1,0,0.7186981186424201,0,
atomix,0.001411005845595656,0.997076023391813,0.22529302692407732,0.5497975708502024,0.17216117216117216,0.10618562910317413,0.9230769230769229,0.7063492063492065,0.9190690293573125,0.7277310924369749,0.8338772502368674,0.24003890258735322,0.30302464483155334,0.9914621404465626,0.5906006619042488,0.34987153634949913,0.47217380443818574,0.48574754775914086,0.0,0.2657319836120733,0.4369719273745283,0.9999999999999998,1.0,1.0,1.0,1.0,0.21081851067789195,0.6854781394344261,0.4448111953999673,0.6946166012272185,0.47763071948823244,0.04444444444444444,0.4698802796424825,0.29097527680873647,0.4824922227004527,0.36792686064874824,0.006666666666666667,0.006825938566552901,0.006775832862789384,0.006807866868381239,0.006791171477079795,0.14328514986213403,0.9999999999999999,0.3727231275048598,0.6939623612292957,0.8191724824085823,0.3448275862068966,0.5890410958904109,0.42247510668563304,0.3804945054945055,0.4317466561762392,0.17647058823529413,0.2885973763874874,0.30901287553648066,0.24607329842931935,0.13414066138798322,0.4571428571428572,0.5528222730739893,0.36213400395185913,0.39008264462809916,0.45598501617571935,0.012820512820512803,0.5073025837136449,0.2374128091312619,0.39250768800670954,0.2906707343204268,0,0,0.6399754722442946,0,
blanca,0.43882281798024586,0.9741019214703427,0.23254480686602183,0.4854924143748527,0.3437862950058072,0.09324887481964989,0.8626373626373629,0.32705026455026465,0.49184602256565846,0.2872309899569583,0.3376456781025685,0.10011879013899874,0.09689524700489427,0.11791601025596403,0.15544909934566037,0.040831774821621585,0.688295907419506,0.8643371523449221,0.7167067282962212,0.7109503916056178,0.8700815131610093,0.9999999999999998,0.0,1.0,1.0,1.0,0.23440361546924776,0.6605725297243905,0.7565265187914338,1.0,0.8006254625783021,0.054945054945054965,0.4363560670264807,0.641785906986276,1.0,0.7304393619607108,0.026666666666666665,0.027303754266211604,0.025974025974025976,0.027231467473524965,0.02678739860403697,0.9283872661947792,0.6539041370791264,0.4323439396827742,0.4459428347474458,0.6987221389113186,0.2044334975369458,0.0,0.21111677715451302,0.0,0.0,0.0,0.2885973763874874,0.30901287553648066,0.24607329842931935,0.07493660404699062,0.2729591836734694,0.12693872362064582,0.0,0.0,0.0,0.0,0.11955011995598608,0.19640827460786542,0.0,0.0,1,0,0.6325678173106984,0,
bouley-at-home,0.04071759725861722,0.9435447593342331,0.23640832602829204,0.48596331205026855,0.4569964349376114,0.07348348775590621,0.8397435897435896,0.5236710963455149,0.0,0.38395721925133675,0.20957884763493118,0.5020791268158086,0.17181377759383284,0.0,0.17188786776401307,0.005149815114091735,0.30239237496817584,0.6695781321934638,0.9999999999999999,0.7172834510954005,0.932590883097208,0.9999999999999998,1.0,0.0,1.0,1.0,0.4244227610940301,0.7168999671719996,1.0,0.8356812523932965,0.9999999999999999,0.18013468013468015,0.513945562931214,0.9999999999999999,0.6983631556016286,1.0,0.02222222222222222,0.02104664391353811,0.02145680406549972,0.021180030257186084,0.021316732691944913,0.6664020753508322,0.3237655506193927,0.4125928947978914,0.7754332752254902,0.6380228096484143,0.3448275862068966,0.2946798343421472,0.03513513513513514,0.45046620046620045,0.19946995734813033,0.17647058823529413,0.2885973763874874,0.30901287553648066,0.24607329842931935,0.13414066138798322,0.32142857142857145,0.3403757117769145,0.0111490329920364,0.36954670673678935,0.22171579126600766,0.26709401709401703,0.26254189230515595,0.09253012048192771,0.5003558085749866,0.2030044174483005,0,0,0.42581080109212366,1,
cafe-boulud,0.9113082039911309,0.9619957917126052,0.22669072998051834,0.5334276470776449,0.33422549347607894,0.1136119781194061,0.6200185356811865,0.4106591710758378,0.49386842469226844,0.41157184185149465,0.3673612398334467,0.3176320301605121,0.16981753284456835,0.11239443817333503,0.2409465365009562,0.05650186675249892,0.5240856190829792,0.7352164738056645,0.7182986201957497,0.6728916266808038,0.8544876886276822,0.7142857142857142,0.0,1.0,0.3333333333333335,0.0,0.5126792152968253,0.6203137321438026,0.7570294845113725,0.6901179389270373,0.663699355606913,0.2628399777973685,0.38478912628617323,0.6424497769640278,0.476262769628902,0.5655582108795553,0.18,0.18088737201365188,0.18068887634105024,0.18078668683812404,0.180720618751179,0.44684820905067696,0.29300658572432803,0.1804093466178739,0.48331280354697614,0.32710031938074235,0.23431657665143335,0.16210045662100456,0.2146045127696504,0.11459646910466582,0.10335806306806389,0.17647058823529413,0.35139402773106104,0.28727802496357835,0.24607329842931935,0.1537542754764102,0.30507745266781416,0.19791931519620307,0.16526286125810188,0.1845549383552364,0.1556030038681749,0.1274328081556997,0.17802072957023624,0.12521277771637007,0.18005918963138817,0.0692639831198624,0,0,0.6092406228749777,0,
cafe-china,0.4980850634952631,0.9635252252769329,0.22822787975386366,0.5398794429150447,0.33097104659943555,0.11501455442918597,0.5075757575757576,0.159912109375,0.44554166179735866,0.18530935690338302,0.15637092322784207,0.22268234746756466,0.11843662943457761,0.1303160080666409,0.1647529101531953,0.02793651889249131,0.6693428672921437,0.8123516045429012,0.7218427225238706,0.7973160538353878,0.9296650611629245,0.7142857142857142,0.0,0.5,0.3333333333333335,0.0,0.4918828616473007,0.7338663823602288,0.6983261561165557,0.7786868634011097,0.7383117234458462,0.24194874958233756,0.5385598671584895,0.5670948939495581,0.6063532312334586,0.6533592446734778,0.2888888888888889,0.28782707622298065,0.28740824392998304,0.2881996974281392,0.2878702131673269,0.4160784347768843,0.12719952071375995,0.023199165962985213,0.30923249353600457,0.07672340716209791,0.32001044932079414,0.2718321917808219,0.4115336266499057,0.3055001992825827,0.27990509759456395,0.17647058823529413,0.2885973763874874,0.29523904581295535,0.24607329842931935,0.12793687271447687,0.3368506493506494,0.21768851902173914,0.26733603196020844,0.3651522288356956,0.2670659181215856,0.1651126651126651,0.29157199980383136,0.44651162790697674,0.40613751356174527,0.2982998893392975,0,0,0.34232137805119234,1,
claro,0.05482765571457367,0.982905982905983,0.22593127411385128,0.523019995730449,0.35760971055088697,0.08996303548118392,0.871794871794872,0.39551671732522786,0.4183149791510745,0.32840336134453807,0.34467457940701474,0.1107871858095479,0.16585599953746488,0.08423481079992944,0.20521772544564065,0.05096950544488585,0.6617929994587691,0.740889102417509,0.7868636310429303,0.7280990683777195,0.8757200041868228,0.9999999999999998,0.0,0.5,0.3333333333333335,0.0,0.2321035412742638,0.644329975820985,0.7530606063005776,0.7407186283322369,0.6666617812164412,0.05387205387205388,0.41516111774147096,0.637219779956119,0.5486640863583906,0.568950953415434,0.02222222222222222,0.023321956769055744,0.02258610954263128,0.022692889561270805,0.022825881909073756,0.3996323573295773,0.19156024234844327,0.05208984892590707,0.4266292747879038,0.17653236158186536,0.617816091954023,0.2760128242494899,0.4606095457159287,0.30164835164835163,0.3319718097661416,0.17647058823529413,0.2885973763874874,0.30901287553648066,0.24607329842931935,0.13414066138798322,0.43452380952380953,0.2089439602707045,0.01474112264904509,0.4714049586776859,0.22829102528339207,0.641025641025641,0.3069441677902346,0.25101256088182516,0.299664523343584,0.26289377020510674,0,0,0.36994062813997897,1,
cote,0.072364442652691,0.9627687157607218,0.22991585328511027,0.5368325428947746,0.33087874324987726,0.11567216605455002,0.563719862227325,0.28061224489795933,0.5607714143235261,0.31909502262443423,0.3088314599762265,0.1779702749525262,0.13272720441901883,0.18079494389334383,0.16802693410987526,0.03769338818449083,0.6359055670042386,0.7732317723233011,0.6564520116736452,0.7285544364728604,0.8806640837026203,0.7142857142857142,0.0,1.0,0.3333333333333335,0.0,0.6080023169594105,0.7399899282080261,0.6380611644143405,0.8576369777906155,0.7714002312885694,0.3696668174280115,0.5475850938493197,0.49420156828772654,0.7355411856738209,0.6938634845140967,0.14444444444444443,0.14391353811149032,0.1439864483342744,0.1437216338880484,0.14393510658366346,0.5292720065832195,0.31931021194839226,0.3304625933314148,0.5863850329842849,0.47864075277699325,0.27637673700463206,0.3116835034643254,0.3927171446255416,0.518836291913215,0.34431210830462033,0.21334503950834066,0.2885973763874874,0.28188579104282013,0.29150221506242446,0.14638977669991274,0.2809168443496802,0.24672874901707853,0.23088346403355653,0.46862470862470856,0.2920965024043401,0.03157290470723306,0.3550247270145533,0.37281339096845395,0.7654674093030258,0.3874332145461692,0,0,0.47260263225607424,1,
daniel,0.9514210844587785,0.9647846182615155,0.2270825752145588,0.539380766949343,0.3329343587641046,0.11510793508135418,0.7883124627310674,0.653223516046578,0.810264339448723,0.7150395778364116,0.7333690627721583,0.39241680445919147,0.24635496911036037,0.39639261997274405,0.4765805750933103,0.16396446829162448,0.4344847633919095,0.5979865618408471,0.4416851385009605,0.4093393472195699,0.6675578045187921,0.9999999999999998,1.0,1.0,1.0,1.0,0.40808342824720484,0.553059255686481,0.4055068180176612,0.5543686854376528,0.3689246309327915,0.16653208440999154,0.3058745403004843,0.2553357122574399,0.3073246393938713,0.266555054743977,0.28222222222222226,0.28270762229806595,0.282326369282891,0.2829046898638427,0.28258819090737597,0.5365402041392093,0.5579852403594744,0.22581187524504553,0.334473144250626,0.42729403120564535,0.20261962042234696,0.4132193142514774,0.4245961938269631,0.28019078546783033,0.3203042638612029,0.19562243502051985,0.2885973763874874,0.3650862178429032,0.22269958142811752,0.1594135396205018,0.28460686600221485,0.32485180450477913,0.2778776312512201,0.27457205782943367,0.27144209886605075,0.03925660902405087,0.3828605831325161,0.23337848435160763,0.29778642942339767,0.21623412406454773,1,0,0.8686334462117613,0,
eleven-madison-park,0.9673452932876436,0.9658610991007518,0.2277165012081061,0.5376280974658256,0.33121013720414827,0.11257056507364374,0.7818047337278107,0.6998236331569667,0.8067055177607942,0.47926711668273914,0.676001586097386,0.38061037176253576,0.28678246713366695,0.4047461024851001,0.2012574086577566,0.12018945027000286,0.45197004262160395,0.5539315913963144,0.4443019401775522,0.6857358697151081,0.72608194922745,0.9999999999999998,1.0,1.0,1.0,1.0,0.40898444529294453,0.5229224272117722,0.3983565183180041,0.7213362151802278,0.440233902137669,0.16726827649157752,0.2734478648810511,0.24905903618017292,0.520325935330536,0.3318806127715793,0.22666666666666666,0.22696245733788395,0.2258610954263128,0.22692889561270801,0.22656102622146762,0.48277719421798354,0.6778805984684207,0.4461048854482823,0.550927116933489,0.6927696842911976,0.29442970822281167,0.42283105022831047,0.5883856829802776,0.7725094577553594,0.5310856239259072,0.17647058823529413,0.2551058290042481,0.37886345182482517,0.2751180156209767,0.1577059127128992,0.32142857142857145,0.40944147809136366,0.3755607919430445,0.6496030348191302,0.4748328564776717,0.15779092702169623,0.38666848387792885,0.3525295284331429,0.678139937762664,0.38376659176869166,0,1,0.8377016556027869,0,
