name,first_review,div1_slope,div2_slope,div3_slope,div4_slope,total_slope,div1_mean,div2_mean,div3_mean,div4_mean,total_mean,div1_kurtosis,div2_kurtosis,div3_kurtosis,div4_kurtosis,total_kurtosis,div1_skew,div2_skew,div3_skew,div4_skew,total_skew,div1_median,div2_median,div3_median,div4_median,total_median,div1_std,div2_std,div3_std,div4_std,total_std,div1_var,div2_var,div3_var,div4_var,total_var,div1_number_reviews,div2_number_reviews,div3_number_reviews,div4_number_reviews,total_number_reviews,div1_avg_length_reviews,div2_avg_length_reviews,div3_avg_length_reviews,div4_avg_length_reviews,total_avg_length_reviews,div1_food_quality,div2_food_quality,div3_food_quality,div4_food_quality,total_food_quality,div1_menu,div2_menu,div3_menu,div4_menu,total_menu,div1_service,div2_service,div3_service,div4_service,total_service,div1_value,div2_value,div3_value,div4_value,total_value,div1_wait time,div2_wait time,div3_wait time,div4_wait time,total_wait time,michelin__0.5,michelin__1.0,security,at_risk,actual
blanca,0.3463254285043437,0.587024087024087,0.3005835728595071,0.632410441708811,0.29374851774498334,0.988558550248786,0.8409090909090908,0.5031816941264347,0.7250785669390325,0.40947940947940964,0.5462411763262041,0.1075738012992546,0.038588023132394164,0.3043493155064912,0.21477850054407793,0.08719242342476465,0.6716032412939287,0.7955286294313964,0.5428776352365897,0.6797346628460897,0.717045359246518,0.9999999999999999,0.5,1.0,0.5,1.0,0.2659080117391553,0.656964109845407,0.2836344338908875,0.8560007056930761,0.7431608004546684,0.07070707070707075,0.5065045303497835,0.21435847348728682,0.7327372081470442,0.6514606937925153,0.031700288184438034,0.03175775480059084,0.0314787701317716,0.03143418467583497,0.031578947368421054,0.9999999999999998,0.8856805243603595,0.5587885671554397,0.36967688712214736,0.843172731313167,0.09999999999999998,0.25013416815742395,0.041449549976314545,0.11458577523559474,0.0703650517723528,1.0,0.19482113272381418,0.605876073984636,0.4715649647156496,0.4628351092931767,0.49716666666666665,0.0,0.03042918029537119,0.045092838196286476,0.047887477348055915,0.453125,0.33499446290143964,0.3891530164583813,0.5064935064935064,0.42938931297709926,0.9054054054054054,0.4916943521594684,0.703986710963455,0.22424242424242424,0.4241976524665518,1,0,1.0,0.0,0
cafe-boulud,0.8966893637003992,0.478955489930029,0.37346638830766815,0.6796011209445795,0.3229550490612342,0.9925267946528467,0.5512211668928086,0.5938105684649955,0.6846901654506219,0.5426478283621141,0.5777218653122702,0.2955763821230487,0.19505296466082878,0.32584306953027986,0.379885848618171,0.1317857100241404,0.5364927740200329,0.6234834943897691,0.49021179936489445,0.55272630363085,0.6679617167635963,0.6666666666666666,0.5,1.0,0.5,0.5,0.5709333346430769,0.5457113269229025,0.4070501456141392,0.609943259266733,0.6195166055619115,0.32596487260666374,0.3801977915203002,0.32475868322469165,0.37203077952492497,0.5062728148580911,0.19020172910662825,0.1927621861152142,0.1925329428989751,0.19155206286836934,0.19216646266829865,0.54925898357774,0.6130513687039395,0.40176959201457474,0.3691237524182567,0.5901378231148234,0.12686567164179102,0.14655172413793102,0.1133164503154759,0.05960888739198619,0.057707549662208917,0.5601404741000878,0.6364298062050768,0.46975484011249485,0.7503494548504333,0.6404051618088593,0.314,0.0,0.03042918029537119,0.045092838196286476,0.03015990159901599,0.28171641791044777,0.43048713738368916,0.48650103887294577,0.49176384839650145,0.4610069885641677,0.5171440096813231,0.6174055829228243,0.44688445720493514,0.22448979591836737,0.3624216092142477,0,0,1.0,0.0,0
cafe-china,0.4153557173045315,0.4795731947397433,0.38822928272627355,0.6750555320223013,0.3198373195832194,0.9925659724700271,0.40340909090909083,0.3849862155199688,0.5174468085106385,0.34516765285996054,0.37820021456647535,0.20699875812671953,0.10003169002610646,0.22136482458705048,0.25545346023281235,0.07176997359925102,0.7209463866768416,0.7236172159469577,0.630822114550142,0.7266058859676332,0.7764563637635493,0.6666666666666666,0.5,0.5,0.5,0.5,0.5359795671343659,0.6625274444623912,0.4495515738366834,0.6846978355610059,0.7211462634883279,0.2872740963855422,0.5132545438192366,0.36518215535185744,0.4688111260219263,0.6245354886875966,0.239193083573487,0.24224519940915806,0.24084919472913618,0.24165029469548133,0.24137086903304775,0.5486886237422335,0.4845454608779082,0.3032155777265839,0.2890547791087751,0.44969863113154895,0.18571428571428567,0.42868785178236396,0.3717860850459095,0.18096059365297443,0.2383853769992384,0.19327731092436973,0.18095598172340563,0.10074078139973149,0.25711275026343516,0.09868133184102289,0.314,0.0,0.03042918029537119,0.045092838196286476,0.03015990159901599,0.234375,0.2986353077816492,0.32094109021172434,0.3714285714285714,0.293205971659919,0.36486486486486486,0.48257839721254353,0.5302090441039637,0.14817813765182186,0.2989421444429934,0,0,1.0,0.0,1
daniel,0.9434139469359004,0.5021840021840022,0.3796122861976168,0.6797778827438973,0.320964629651009,0.992653806054581,0.7506142506142508,0.7929277331686224,0.8947582444830156,0.8126232741617354,0.8118216809142926,0.3086386585956097,0.3282793108961961,0.6102709427632874,0.8869120938311199,0.2685319280350927,0.4810957363574348,0.45205352680440936,0.2411318166028099,0.12564963097011594,0.47801196113197364,0.9999999999999999,1.0,1.0,1.0,1.0,0.41735814858203546,0.47238250959103034,0.16381644822444363,0.47920010777747696,0.4277511746191731,0.17418782418782439,0.3059831572485883,0.11711309911746909,0.2296327432939455,0.3101526535751823,0.3170028818443804,0.3190546528803545,0.3191800878477306,0.3182711198428291,0.31872705018359854,0.551156974316374,0.8129502354193167,0.4891969102620656,0.2461490481450198,0.6618531902441583,0.09999999999999998,0.09603365384615384,0.08480045545612977,0.09546554528503987,0.040272125372046406,0.7281399046104928,0.7437335092348285,0.6255928096589144,0.7797681770284509,0.7745660503779392,0.314,0.0,0.03552397424390811,0.051336461946541526,0.03372173046883843,0.5743243243243243,0.9002976190476191,0.7329027689377183,0.7665714285714286,0.8778278374233128,0.6471877282688093,0.7896825396825397,0.7603819509455157,0.29600000000000004,0.5120885282670361,1,0,1.0,0.0,0
delaware-and-hudson,0.18361117633247243,0.47431487214768947,0.3196498646659307,0.6804330376931277,0.2886998012919141,0.9892590005959896,0.9469696969696972,0.6140474719844704,0.592185328185328,0.4852443154329946,0.5837666744057004,0.5109755561714595,0.15195698734719237,0.1614911886712842,0.26264423898466344,0.10328860211277499,0.19147124681762095,0.6045644109864536,0.7454735145683954,0.6563960358849075,0.6919979479734838,0.9999999999999999,1.0,0.5,0.5,1.0,0.17464561066519466,0.6979377464534102,0.26546667980385685,0.7313472370083384,0.6872480976849313,0.03050108932461875,0.5571866509965935,0.19898370890914724,0.5348687810797306,0.5839864036213628,0.04899135446685878,0.051698670605613,0.05124450951683748,0.05108055009823182,0.051162790697674425,0.2102600758783747,0.6104449229961435,0.3690840935191004,0.20044059073974868,0.4536254636651572,0.09999999999999998,0.17887362637362636,0.10895310279488395,0.08963967032218514,0.06620993852939795,0.7647058823529412,0.5878251036562383,0.25522949586155,0.43525458774877224,0.45600612501280546,0.314,0.0,0.03042918029537119,0.08337921024973725,0.04116612161382277,0.34375,0.2880952380952381,0.13779366945837632,0.3521563342318059,0.2265995260663507,0.4324324324324324,0.5714285714285714,0.5654810495626822,0.10943396226415095,0.3192172450695613,0,0,1.0,0.0,0
dovetail,0.731157548720357,0.5062732589048379,0.3750722555950483,0.682288016601723,0.3100684633611367,0.9926315900507375,0.625,0.49208278421851137,0.5075328539548725,0.5603502188868041,0.5030847664659248,0.2631977771158768,0.10737517443334142,0.19168373115278936,0.31120354922181764,0.087903855773803,0.5919370740739798,0.7150700707380881,0.6302857845037197,0.5745464522906609,0.7221442446737383,0.6666666666666666,0.5,0.5,1.0,0.5,0.44551638408126865,0.6214916218338922,0.5509035127253373,0.6748883255894893,0.715442300624741,0.19848484848484846,0.4644374728175878,0.46654982012103924,0.4554742520169845,0.6176351302869718,0.1585014409221902,0.16026587887740032,0.1595900439238653,0.16011787819253437,0.1598531211750306,0.6948762459841802,0.7257733202303196,0.5137837322598197,0.26554321420025323,0.6655391593919693,0.09999999999999998,0.13860333215171924,0.09563818182608357,0.10168681367061222,0.05524903635401708,0.7605042016806722,0.5046022153861118,0.3969046189105418,0.7333778817240226,0.5730227791817558,0.314,0.0,0.05080835608951887,0.045092838196286476,0.03725093189863196,0.2421875,0.27880184331797236,0.3432391655121078,0.42238675958188154,0.31774809160305345,0.5540540540540541,0.5477287689269256,0.33650065530799467,0.18536585365853658,0.3100385783468768,0,0,1.0,0.0,0
eleven-madison-park,0.9619629020896925,0.49862866098540504,0.3796846314482104,0.6779090356196874,0.3183543648590506,0.9925720435149937,0.6915188470066518,0.8219026419755964,0.9637181106339985,0.7604700854700854,0.8203667252072355,0.3245738797954181,0.43181597416722733,0.8595889657483787,0.5447599235568057,0.27460183256208637,0.4771833950177422,0.3828112421193426,0.09180349948657707,0.3578612269936834,0.47554232420448916,0.9999999999999999,1.0,1.0,1.0,1.0,0.49752851991022484,0.4513386143925274,0.05099775901671555,0.4996512033059988,0.40536403562187195,0.247534628124059,0.2860109517431891,0.03449687432785925,0.2496513249651325,0.2895604180220497,0.2334293948126801,0.23485967503692765,0.23499267935578333,0.23477406679764243,0.23476132190942472,0.5707212468836627,0.8312491321685609,0.6730408395952849,0.36716262750958356,0.823026571671205,0.09999999999999998,0.14033018867924527,0.06353015136556622,0.09392728210417742,0.04493050761892006,0.5824964131994261,0.7365460247921543,0.7279733901535128,0.7787671232876712,0.7939030612546895,0.314,0.008149337615415498,0.03734921195132788,0.062002652519893904,0.039826134369564295,0.4451219512195122,0.9059598682240191,0.8775517252747769,0.8840773809523809,0.9628642039542145,0.4601186552406064,0.7870619946091644,0.8321190158306312,0.36333333333333334,0.5351951931791481,0,1,1.0,0.0,0
faro,0.09744071378257808,0.45,0.3394159556193855,0.7395266075496416,0.37260871011744356,0.990985038649548,0.5227272727272727,0.6747992588017295,0.2917780938833574,0.5128205128205128,0.4884263176698447,0.20170087743610202,0.16480856473692396,0.030486471359331996,0.2866091046860849,0.060252132542076384,0.5952540946290581,0.586085923003626,0.8455766708660539,0.6014426597027787,0.7392477526362151,0.9999999999999999,1.0,0.5,0.5,0.5,0.7071067811865476,0.603492187249712,0.7251287489119019,0.7285844391240082,0.8422255734557127,0.49999999999999994,0.4437343988332431,0.6571718829367408,0.5308352849336455,0.7783858828088893,0.04034582132564841,0.041358936484490405,0.04172767203513909,0.041257367387033395,0.041370869033047736,0.3186891735855281,0.43813349463757983,0.3364440222351724,0.25370308531261854,0.40401628557999714,0.27999999999999997,0.3018200549450549,0.0,0.20067884428559435,0.12570204388859937,0.11764705882352941,0.43135130041462494,0.14003405805710661,0.606562599553998,0.3287560957760347,0.314,0.0,0.03042918029537119,0.1394731972117698,0.05732145040748653,0.3,0.5144557823129252,0.5897070915151139,0.22674418604651161,0.4276315789473684,0.2810810810810811,0.846938775510204,0.31557465091299675,0.2372093023255814,0.37477205558699617,0,0,1.0,0.0,0
la-sirena,0.3028880018783752,0.5105929902256576,0.3820224719101123,0.6787638219449956,0.34704893522996383,0.0,1.0,0.5896438127922634,0.6122776007256951,0.5128205128205128,0.8038585209003215,0.0,0.20586965025363319,0.322328868685655,0.0,0.1423915659278583,0.8636560390844522,0.5988541957115948,0.5425591441730454,0.971355050517394,1.0,0.9999999999999999,0.7428571428571429,0.7392857142857143,0.5,0.75,0.5694301680258704,0.6336949833337884,0.388490796770523,0.6205422459177367,0.0,0.36346388692945025,0.4951457013605279,0.3209509411000289,0.4054107406659226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.26387475086873435,0.19883826574174923,0.04847859721505931,1.0,0.11764705882352941,0.4473804143427877,0.3425522217854211,0.2191780821917808,0.02844141069397042,0.314,0.026228676410247488,0.0582694735637007,0.045092838196286476,0.03015990159901599,0.125,0.4342598816017677,0.4068583309117287,0.1857142857142857,0.0,0.4324324324324324,0.5822036830275187,0.5210496199646361,1.0,1.0,0,0,0.0,1.0,0
luksus,0.25146748062925567,1.0,0.6298473062518006,0.583749778873113,0.0,0.9837233330529261,0.045454545454545414,0.5697344039530576,0.8046569646569646,0.0,0.38805057246517416,0.11044243600056788,0.20023159052182601,0.1935887330917855,0.13410011492119542,0.04104356375045177,1.0,0.5938216730224404,0.6202814305305577,1.0,0.7911091307651597,0.0,0.5,1.0,0.0,0.5,0.6972166887783964,0.6735215299670033,0.10263767343240626,0.9247395972855514,0.903125034563798,0.4861111111111111,0.5267152383890643,0.07123522357375361,0.8551433227878437,0.8610925385102957,0.01729106628242075,0.01846381093057607,0.01903367496339678,0.01768172888015717,0.01835985312117503,0.9010203520568068,0.8684957905977598,0.5054078334830648,0.4646871548307453,0.8366102588958204,0.09999999999999998,0.1713076923076923,0.13231971723208105,0.04847859721505931,0.061334704899061336,0.11764705882352941,0.4443271767810027,0.2458760201423858,0.0,0.17264305660210097,0.0,0.0,0.03042918029537119,0.045092838196286476,0.0,0.125,0.23047619047619047,0.9443202522322294,0.0,0.36525974025974023,0.10810810810810811,0.8457142857142856,0.9173469387755101,0.368421052631579,0.5314900153609832,0,0,1.0,0.0,1
